subset,category,test_fold,model,mse,mae
Bream,all,1,featureless,0.09169465319132589,0.2508478712061791
Bream,all,1,linear,0.04989124602839641,0.1813326806659739
Bream,all,1,gam,0.018498190393795765,0.11480469756055424
Bream,same,1,featureless,0.3658401892487772,0.5500295136376487
Bream,same,1,linear,0.04015484152728276,0.15782050964330413
Bream,same,1,gam,0.06955183216106195,0.2285618941585764
Bream,other,1,featureless,0.1726895583723343,0.34983392421421594
Bream,other,1,linear,0.22230490000168482,0.44070858668894075
Bream,other,1,gam,0.11922338559822572,0.3226224510266169
Bream,all,2,featureless,0.08733289383059062,0.26571835101463714
Bream,all,2,linear,0.035428350388944395,0.13199267387881694
Bream,all,2,gam,0.06591862316420895,0.1915949030154262
Bream,same,2,featureless,0.21300731992490363,0.4399747307323298
Bream,same,2,linear,0.019786687509594676,0.08839879575975138
Bream,same,2,gam,0.034030667274134535,0.13299734552408984
Bream,other,2,featureless,0.19480044340474198,0.4187730735885779
Bream,other,2,linear,0.41433305152879313,0.6204530827688861
Bream,other,2,gam,0.19544589894602343,0.3824949367017126
Bream,all,3,featureless,0.376821040611295,0.5995427848052481
Bream,all,3,linear,0.0350805588434153,0.14372039336113124
Bream,all,3,gam,0.07888594312929034,0.23507676823077522
Bream,same,3,featureless,0.01858946021326041,0.1299748215706353
Bream,same,3,linear,0.024309304914501517,0.13009741074339246
Bream,same,3,gam,0.023741370498875047,0.14791426148992384
Bream,other,3,featureless,0.569136777591998,0.7428103982798943
Bream,other,3,linear,0.5008550918141212,0.6847614967227896
Bream,other,3,gam,0.17192552059177763,0.3412760041002749
Bream,all,4,featureless,0.7430423621348056,0.8396550813112975
Bream,all,4,linear,0.05921789409043204,0.22706423239396883
Bream,all,4,gam,0.023924733132572217,0.14543256870648044
Bream,same,4,featureless,0.10152498521769208,0.2626787358005788
Bream,same,4,linear,0.01806084017396738,0.11881133141638049
Bream,same,4,gam,0.03165681210669294,0.15288999803333128
Bream,other,4,featureless,0.9834895606845915,0.9723517131787591
Bream,other,4,linear,0.61503776108714,0.7577640258496231
Bream,other,4,gam,0.43719872859031605,0.6403039000329016
Bream,all,5,featureless,1.6430730396560786,1.2755955754936752
Bream,all,5,linear,0.1932706805538406,0.4115229501031638
Bream,all,5,gam,0.16349480003772224,0.3388261271196392
Bream,same,5,featureless,0.6133555500723932,0.7729337504827664
Bream,same,5,linear,0.029442417868806584,0.13482404617894297
Bream,same,5,gam,0.06547624857996352,0.22150536293619558
Bream,other,5,featureless,1.9455273844902685,1.3890998585606542
Bream,other,5,linear,1.098971073641473,1.0396994115457112
Bream,other,5,gam,1.031286146943153,0.9709531998025184
Parkki,all,1,featureless,1.4513110788047803,1.2006316006189979
Parkki,all,1,linear,0.14800866896575257,0.3843284642923683
Parkki,all,1,gam,0.042194326626372285,0.20221295379528784
Parkki,same,1,featureless,0.42006820260018246,0.6405258497518576
Parkki,same,1,linear,0.008652989036045044,0.08797595745372089
Parkki,same,1,gam,0.07672621939312231,0.25743136049898574
Parkki,other,1,featureless,1.524928326509081,1.2309075871523572
Parkki,other,1,linear,0.19505111283952836,0.4412425923035361
Parkki,other,1,gam,0.3627409058816456,0.6005746274626079
Parkki,all,2,featureless,0.6376190052709543,0.790689627349993
Parkki,all,2,linear,0.13321354148859793,0.36134754547415693
Parkki,all,2,gam,0.02353413170556131,0.1441031774685314
Parkki,same,2,featureless,0.019459353152794418,0.11148505941193848
Parkki,same,2,linear,0.002853236162474233,0.0390833183836769
Parkki,same,2,gam,0.002289282715575305,0.03529798725086808
Parkki,other,2,featureless,0.7074400209670266,0.833673258834025
Parkki,other,2,linear,0.1909570440830849,0.43395661391046536
Parkki,other,2,gam,0.17333753724827333,0.4089021900396003
Parkki,all,3,featureless,0.413184215016724,0.6418668261939859
Parkki,all,3,linear,0.08648757689403036,0.2897726158869125
Parkki,all,3,gam,0.010024610282002947,0.09880566179794564
Parkki,same,3,featureless,0.010360952825146168,0.0957588657867392
Parkki,same,3,linear,0.00012671233194769726,0.008397966385344513
Parkki,same,3,gam,0.003691327006952483,0.04666707909845352
Parkki,other,3,featureless,0.472778905616448,0.6867224425982192
Parkki,other,3,linear,0.13220365428534903,0.3591495117987423
Parkki,other,3,gam,0.1014384788468123,0.3184533101869357
Parkki,all,4,featureless,0.39109098330014946,0.6069436379899341
Parkki,all,4,linear,0.24765901537802826,0.4910008026176842
Parkki,all,4,gam,0.027888622113217805,0.15695733355775937
Parkki,same,4,featureless,0.04172842930741067,0.15069971334973808
Parkki,same,4,linear,0.0070147372515007925,0.06311668058016101
Parkki,same,4,gam,0.00131604830621994,0.03487043429963113
Parkki,other,4,featureless,0.4481255163785381,0.6522385397803819
Parkki,other,4,linear,0.3239821289408428,0.5632734263117323
Parkki,other,4,gam,0.15583304359178696,0.3816226209455464
Parkki,all,5,featureless,0.019677051457044136,0.137695311931522
Parkki,all,5,linear,0.11615930436652581,0.33957111467704415
Parkki,all,5,gam,0.005212513233125291,0.06790625929497202
Parkki,same,5,featureless,0.4966392409910958,0.7042174298197758
Parkki,same,5,linear,0.037406776964933865,0.19124669786429468
Parkki,same,5,gam,0.010761209962618538,0.09748295277065391
Parkki,other,5,featureless,0.03639750781179702,0.18889270838937122
Parkki,other,5,linear,0.17262970772413727,0.41428842853397707
Parkki,other,5,gam,0.015438143914095148,0.12424986881572632
Perch,all,1,featureless,1.2067948232653827,1.0422148523267782
Perch,all,1,linear,0.030197648621540247,0.1488767157182041
Perch,all,1,gam,0.028487933871573116,0.14234197891688463
Perch,same,1,featureless,2.2960228010474935,1.4749372109322618
Perch,same,1,linear,0.06298400963906513,0.20720136947804244
Perch,same,1,gam,0.07252544904444522,0.23692132430666757
Perch,other,1,featureless,0.8556536229509507,0.857362582631232
Perch,other,1,linear,0.012915660941746614,0.09203327436888058
Perch,other,1,gam,0.03740836520113419,0.17263287516102896
Perch,all,2,featureless,0.27521676979921644,0.517787154159274
Perch,all,2,linear,0.02292577170105986,0.10937150940335258
Perch,all,2,gam,0.02899874899210581,0.12585026850792397
Perch,same,2,featureless,0.7175037591508631,0.8428466802236373
Perch,same,2,linear,0.033761392473943885,0.14634189483361143
Perch,same,2,gam,0.01891480312466776,0.07932383523350248
Perch,other,2,featureless,0.14831696927951366,0.37577085636416374
Perch,other,2,linear,0.03378529191390815,0.152002362321389
Perch,other,2,gam,0.062063431794250064,0.22187919631447298
Perch,all,3,featureless,0.0862290113828915,0.24770536859130035
Perch,all,3,linear,0.015880366783539938,0.10388121198524697
Perch,all,3,gam,0.02155129876229018,0.1117999922910936
Perch,same,3,featureless,0.24261631531460964,0.4529046390106346
Perch,same,3,linear,0.020598033919336213,0.1136045072780095
Perch,same,3,gam,0.021951382549831363,0.12701748624858936
Perch,other,3,featureless,0.06300680403563687,0.19395152596032908
Perch,other,3,linear,0.10412037769829116,0.2773748984047958
Perch,other,3,gam,0.058717519099357414,0.2092072382212873
Perch,all,4,featureless,1.6469336640298018,1.1105154063995133
Perch,all,4,linear,0.27129002277141506,0.4146177724600552
Perch,all,4,gam,0.08315065604447668,0.2259726938301088
Perch,same,4,featureless,1.5003832629486182,1.0543251100363829
Perch,same,4,linear,0.13217917150079406,0.2728297852264081
Perch,same,4,gam,0.03235136354135422,0.15541274238890707
Perch,other,4,featureless,1.7139214317203264,1.1350645650047646
Perch,other,4,linear,0.9066769268721427,0.8544543330024457
Perch,other,4,gam,0.18129192425740623,0.3761272653791354
Perch,all,5,featureless,3.237745581031483,1.7717510945633457
Perch,all,5,linear,0.12323226829186461,0.31017733503115835
Perch,all,5,gam,0.08851512554936436,0.23001623160068432
Perch,same,5,featureless,3.3719994951144625,1.8092417901345834
Perch,same,5,linear,0.35111852845596386,0.5371006752509139
Perch,same,5,gam,0.15668538754810105,0.2944250497420672
Perch,other,5,featureless,3.1799733203320573,1.7553716644594068
Perch,other,5,linear,0.8320406716813042,0.8835205471960641
Perch,other,5,gam,0.16234027944803173,0.3523417397145071
Pike,all,1,featureless,0.11962560246759998,0.26433333422589766
Pike,all,1,linear,0.20220895987087012,0.4096952626070731
Pike,all,1,gam,0.04108018905797039,0.1628478199738349
Pike,same,1,featureless,0.7850236677097857,0.8574789658208334
Pike,same,1,linear,0.01625223599192209,0.09809754641639491
Pike,same,1,gam,0.051343218720866154,0.18921829197850212
Pike,other,1,featureless,0.09386662499425331,0.22401336489643825
Pike,other,1,linear,1.0898404304811318,1.015410060450845
Pike,other,1,gam,0.38940121388358345,0.6125624961663445
Pike,all,2,featureless,0.02049575602526889,0.10949159824818083
Pike,all,2,linear,0.18429447566779927,0.41685623295264507
Pike,all,2,gam,0.09044031534042568,0.299836333962598
Pike,same,2,featureless,0.36089002908905177,0.585667904132906
Pike,same,2,linear,0.027071238842818108,0.1249969976192053
Pike,same,2,gam,0.02893536989022937,0.1645299925220835
Pike,other,2,featureless,0.017887869052646752,0.1094915982481808
Pike,other,2,linear,2.228369768913968,1.4761641676644688
Pike,other,2,gam,0.6826879528032506,0.8210101432971517
Pike,all,3,featureless,0.11517688874171551,0.3321924129041256
Pike,all,3,linear,0.1406657664827614,0.33640107536860575
Pike,all,3,gam,0.020390372226036235,0.09003408283605835
Pike,same,3,featureless,0.012492460539331044,0.09440675033735807
Pike,same,3,linear,0.0024236127915520243,0.04815965264888757
Pike,same,3,gam,0.014641980885504,0.11612870547793637
Pike,other,3,featureless,0.14438471593968405,0.3735768011922496
Pike,other,3,linear,2.610301693063588,1.6041092237414933
Pike,other,3,gam,0.3937649003502312,0.6233055206566798
Pike,all,4,featureless,1.2920737452513649,1.0673794405854242
Pike,all,4,linear,0.023937606831792607,0.1518756282437561
Pike,all,4,gam,0.02588421020546401,0.14525612937853213
Pike,same,4,featureless,0.7742227802541085,0.7883196719524364
Pike,same,4,linear,0.024234803928895755,0.15559375985451998
Pike,same,4,gam,0.05065033401862198,0.15047639362082155
Pike,other,4,featureless,1.3515641890410854,1.0948923755210709
Pike,other,4,linear,3.090046754481829,1.7575509040304258
Pike,other,4,gam,0.27677035237389663,0.4753918037103317
Pike,all,5,featureless,1.8755725057980939,1.317239923882913
Pike,all,5,linear,0.8699387353371701,0.896026577374326
Pike,all,5,gam,0.2287943466629082,0.4761848880014266
Pike,same,5,featureless,1.3198412356693494,1.085997121056183
Pike,same,5,linear,0.16712525974381146,0.39641156112362336
Pike,same,5,gam,0.07839500237982931,0.2091162667863228
Pike,other,5,featureless,1.9361546972166792,1.3400385100770977
Pike,other,5,linear,6.807097317088726,2.601518376621342
Pike,other,5,gam,0.4819834598635926,0.614695319201472
Roach,all,1,featureless,1.022766416009707,0.9921212428133667
Roach,all,1,linear,0.04803582040362054,0.21093672088502172
Roach,all,1,gam,0.002142464673746612,0.04048361311130602
Roach,same,1,featureless,0.4530870819589765,0.6439139899014533
Roach,same,1,linear,0.014481060722841221,0.10908716471720617
Roach,same,1,gam,0.03494798911402395,0.16670180532419293
Roach,other,1,featureless,1.1039041728835937,1.0322026532204935
Roach,other,1,linear,0.09751829896220848,0.30415710568088483
Roach,other,1,gam,0.003000823251524146,0.0468633963216466
Roach,all,2,featureless,0.38664611569393526,0.6186818535985472
Roach,all,2,linear,0.06884323797046263,0.2558787361381384
Roach,all,2,gam,0.03135614126006213,0.14186832581333378
Roach,same,2,featureless,0.03954627314083915,0.188858130402263
Roach,same,2,linear,0.06206575435227103,0.20397141597454232
Roach,same,2,gam,0.0696457166292163,0.19359522012157382
Roach,other,2,featureless,0.4503139467447831,0.6681579656211413
Roach,other,2,linear,0.1267108105519653,0.35061810579219643
Roach,other,2,gam,0.03690336692364594,0.1513683787386447
Roach,all,3,featureless,0.2551209396515523,0.4917603791962076
Roach,all,3,linear,0.12547426787529853,0.2973094558609148
Roach,all,3,gam,0.013943397187724565,0.10434232695353837
Roach,same,3,featureless,0.014462140075781386,0.104418685883693
Roach,same,3,linear,0.03086441355976108,0.16164264606316053
Roach,same,3,gam,0.0201217275545139,0.11998737691743877
Roach,other,3,featureless,0.3096961324637593,0.544429484285527
Roach,other,3,linear,0.19061491718038098,0.39194960971012716
Roach,other,3,gam,0.013942474783020612,0.10121410116350248
Roach,all,4,featureless,0.13195353471644375,0.3473809071124592
Roach,all,4,linear,0.22447247439389367,0.4617887448446749
Roach,all,4,gam,0.005889166880151958,0.07039227330600042
Roach,same,4,featureless,0.031369297179975206,0.14173657640075304
Roach,same,4,linear,0.016788030917634388,0.12731967074736122
Roach,same,4,gam,0.010962173756432828,0.10329348997570612
Roach,other,4,featureless,0.1742393588313076,0.40368220017872836
Roach,other,4,linear,0.33003941663919223,0.5628178228267173
Roach,other,4,gam,0.0066232153889938805,0.07114951694485694
Roach,all,5,featureless,0.11360929692105032,0.2819921176923129
Roach,all,5,linear,0.21721758333495744,0.43990121355204537
Roach,all,5,gam,0.010053997426862457,0.07841624908984422
Roach,same,5,featureless,0.6222898731849514,0.7252330726357085
Roach,same,5,linear,0.008999923110955446,0.09284204895331963
Roach,same,5,gam,0.1000050068068215,0.23942640183685937
Roach,other,5,featureless,0.10031036636255056,0.25673994600096517
Roach,other,5,linear,0.298729807980587,0.5239497511099929
Roach,other,5,gam,0.011985006617563323,0.07877352274778468
Smelt,all,1,featureless,4.003923750978519,2.000755263331572
Smelt,all,1,linear,0.0401607067411488,0.200171543913677
Smelt,all,1,gam,0.004462690945239274,0.0660979542925672
Smelt,same,1,featureless,0.0290246723364869,0.16769777907579972
Smelt,same,1,linear,0.00625284168426747,0.06375739737009127
Smelt,same,1,gam,0.0034131657926822537,0.04400477305180613
Smelt,other,1,featureless,4.579709491063171,2.139814796619941
Smelt,other,1,linear,0.2413999701015729,0.49117509596063885
Smelt,other,1,gam,0.21840496946583132,0.46715034926050586
Smelt,all,2,featureless,3.543461717169938,1.8822034489407258
Smelt,all,2,linear,0.015778379273731567,0.12242001659896824
Smelt,all,2,gam,0.0030779084446837953,0.04812696020897519
Smelt,same,2,featureless,0.001158430090796521,0.03268338633478729
Smelt,same,2,linear,0.00476170220326437,0.06070471704535459
Smelt,same,2,gam,0.004709001295092596,0.061567111445914945
Smelt,other,2,featureless,4.095323370647507,2.0234998089157146
Smelt,other,2,linear,0.17459903387259143,0.41735255017327705
Smelt,other,2,gam,0.16668232410077807,0.40728585054083727
Smelt,all,3,featureless,3.810843257262577,1.9518101844365792
Smelt,all,3,linear,0.05820274953864252,0.23625812357578427
Smelt,all,3,gam,0.045287261682852416,0.2094278547902698
Smelt,same,3,featureless,0.012639428806521658,0.10657939582441922
Smelt,same,3,linear,0.0008978219799115418,0.029632208732071657
Smelt,same,3,gam,0.0019305673131470925,0.039978891974065935
Smelt,other,3,featureless,4.376879093672142,2.0917932097795706
Smelt,other,3,linear,0.261074727021732,0.5091663993776162
Smelt,other,3,gam,0.26115381431592494,0.5097357124653544
Smelt,all,4,featureless,3.5623432548432667,1.8870555013714558
Smelt,all,4,linear,0.0974687290004262,0.28924930718846387
Smelt,all,4,gam,0.039370882641098885,0.18634673923399503
Smelt,same,4,featureless,0.0020262743259140616,0.04327190189660065
Smelt,same,4,linear,0.015260734237743512,0.10940651756315711
Smelt,same,4,gam,0.014432735054434364,0.10727652172525264
Smelt,other,4,featureless,4.115204687637935,2.028260313187374
Smelt,other,4,linear,0.2802284164583669,0.5200973946925199
Smelt,other,4,gam,0.22676276088665448,0.4733591398535179
Smelt,all,5,featureless,2.1729541011757645,1.4730326790158725
Smelt,all,5,linear,0.00943340937189324,0.0920380296890696
Smelt,all,5,gam,0.006615841594140396,0.07870407790279421
Smelt,same,5,featureless,0.1963140715441285,0.43952843345686166
Smelt,same,5,linear,0.0531707198840075,0.2190605720776253
Smelt,same,5,gam,0.1963140715441285,0.43952843345686166
Smelt,other,5,featureless,2.664312884928799,1.6313135986687886
Smelt,other,5,linear,0.07318602800069336,0.2691906336963762
Smelt,other,5,gam,0.04405559518929385,0.19859101691591274
Whitefish,all,1,featureless,0.010426363682524685,0.10210921592722066
Whitefish,all,1,linear,0.025954948106177288,0.15904642819172501
Whitefish,all,1,gam,0.010746428607759543,0.10346790063550554
Whitefish,same,1,featureless,1.1955855733921248,1.093428324896914
Whitefish,same,1,linear,0.06647546892160379,0.2179163286998044
Whitefish,same,1,gam,0.0057973210295743025,0.056815150386562464
Whitefish,other,1,featureless,0.005805349938470782,0.07619237647703259
Whitefish,other,1,linear,0.029615265106865452,0.17025716325161883
Whitefish,other,1,gam,0.011207511490447337,0.10567270394121228
Whitefish,all,2,featureless,0.025014417551514966,0.1581594687380903
Whitefish,all,2,linear,0.05468029268568529,0.2338381762794204
Whitefish,all,2,gam,5.65706381293112e-06,0.0023784582848835334
Whitefish,same,2,featureless,0.31940036151045126,0.5651551658707998
Whitefish,same,2,linear,0.13513606535784672,0.36760857628440435
Whitefish,same,2,gam,0.0028990901263243065,0.05384319944360946
Whitefish,other,2,featureless,0.03305022261693995,0.18179720189524357
Whitefish,other,2,linear,0.06062515204865653,0.24622175380874967
Whitefish,other,2,gam,2.9767268085931434e-06,0.001725319335251635
Whitefish,all,3,featureless,1.6491645061325424,1.2841980011402223
Whitefish,all,3,linear,0.7177200003529035,0.847183569454049
Whitefish,all,3,gam,0.2655171343054792,0.5152835474818492
Whitefish,same,3,featureless,0.6046503588726356,0.7775926689936291
Whitefish,same,3,linear,0.10560033499616965,0.32496205162475456
Whitefish,same,3,gam,0.19286635965604207,0.4391655264886374
Whitefish,other,3,featureless,1.6919602685775732,1.3007537309489345
Whitefish,other,3,linear,0.735573659080219,0.8576559094883093
Whitefish,other,3,gam,0.22876377236748507,0.47829255938963244
Whitefish,all,4,featureless,1.6670539146044003,1.2911444205062423
Whitefish,all,4,linear,0.15263888543797474,0.39069026790793593
Whitefish,all,4,gam,0.029285156533981734,0.17112906396629923
Whitefish,same,4,featureless,0.6176010031714598,0.7858759464263172
Whitefish,same,4,linear,0.002111167600390234,0.04594744389397776
Whitefish,same,4,gam,0.03792144477762397,0.19473429276227638
Whitefish,other,4,featureless,1.709965422983932,1.3076564621428413
Whitefish,other,4,linear,0.16321155329304238,0.4039944966123207
Whitefish,other,4,gam,0.03943868484424946,0.19859175422018271
Whitefish,all,5,featureless,1.5927482900546446,1.26204131867964
Whitefish,all,5,linear,0.013481550468415884,0.11611007909917159
Whitefish,all,5,gam,0.4546819891783446,0.6743011116543889
Whitefish,same,5,featureless,0.5642591787088409,0.7511718702859159
Whitefish,same,5,linear,0.02417804941969489,0.155492924018088
Whitefish,same,5,gam,0.09989462364479787,0.31606110745360283
Whitefish,other,5,featureless,1.6351667773410818,1.2787363986925069
Whitefish,other,5,linear,0.016965122127640144,0.13025022889669002
Whitefish,other,5,gam,0.45416350417394613,0.6739165409558858
